1	பின்வருவன தூரங்களை அளவிடுவதற்குப் பயன்படும் அலகுகளாகும்.\n(A) மில்லி மீற்றர்   (B) மைக்ரோ மீற்றர்   (C) அங்ஸ்ரோம்\n(D) ஒளியாண்டு   (E) கிலோ மீற்றர்\nபின்வரும் சேர்மானங்களில் எது மிகப்பெரியதும் மிகச் சிறியதுமான அலகுகளைக் குறிக்கின்றது?	A யும் C யும்|E யும் C யும்|B யும் C யும்|D யும் C யும்|D யும் B யும்
2	பின்வருவனவற்றுள் எது சக்தியின் பரிமாணங்களையுடையது?	உந்தம்|விசை|வலு|அமுக்கம்|விசையின் திருப்பம்
3	பின்வரும் கணியங்களுள் எது பரிமாணங்கள் இல்லாதது?	தன்வெப்பக்கொள்ளளவு|சாரடர்த்தி|விறைத்திறன்|மீடிறன்|கதி
4	சீரான ஆர்முடுகல் a ஐயும் தொடக்க வேகம் u ஐயும் கொண்ட துணிக்கையொன்று நேரம் t இல் சென்ற தூரத்தை s குறிக்கின்றது. s = k¹ᐟ²(1 + at/(2u)) எனில், கணியம் k இன் பரிமாணம் யாது?	LT|L²|L|LT⁻²|L¹ᐟ²
5	இரு திணிவுகளுக்கிடையே தாக்குகின்ற விசை F ஆனது m₁m₂/r² இற்கு மாத்திரம் விகிதசமம். m₁, m₂ திணிவுகளையும் r அவற்றுக்கிடையிலுள்ள தூரத்தையும் குறிக்கின்றன. விகிதசமத்துவ மாறிலியின் பரிமாணங்கள் யாவை?	M²L²|M²L²T⁻²|MLT⁻²|M⁻¹L³T⁻²|MLT⁻¹
6	விளக்குக்குமிழொன்றின் மின்தடை R க்கும் அதனூடாகப் பாயும் மின்னோட்டம் I க்கும் இடையிலான தொடர்பு R = kI³ᐟ² ஆகும். k ஒரு மாறிலி எனில், நேர் வரியான வரைபைப் பெறுவதற்கு எதனை வரைய வேண்டும்?	I இற்கு எதிரே R|log I இற்கு எதிரே R|I இற்கு எதிரே R²|log I இற்கு எதிரே log R|I இற்கு எதிரே log R
7	M₁, M₂ என்பன திணிவுகளையும் U₁, U₂ என்பன வேகங்களையும் குறிக்கின்றன. U₁ = [2M₁/(M₁ + M₂²)]U₂ என்ற சமன்பாட்டைக் கருதுக. இச்சமன்பாடு,	பரிமாணப்படி சரியானது.|தொகுதியில் 2M₁ இற்குப் பதிலாக 2M₁M₂ ஐ இடும்போது பரிமாணப்படி சரியானது.|தொகுதியில் 2M₁ இற்குப் பதிலாக 2M₁² ஐ இடும்போது பரிமாணப்படி சரியானது.|பகுதியில் M₁ + M₂² இற்குப் பதிலாக M₁² + M₂ ஐ இடும்போது பரிமாணப்படி சரியானது.|பகுதியில் M₁ + M₂² இற்குப் பதிலாக M₁ + M₂ ஐ இடும்போது பரிமாணப்படி சரியானது.
8	ஈர்ப்பு மாறிலி G இன் சர்வதேச முறை (SI) அலகு யாது?	m s⁻²|J m kg⁻¹|m³ kg⁻¹ s⁻²|m² kg⁻¹ s⁻²|N m² kg⁻²
9	r எனும் தூரத்தினால் பிரிக்கப்பட்டுள்ள M₁, M₂ ஆகிய இரண்டு திணிவுகளுக்கும் இடையிலுள்ள விசை P இற்கான சமன்பாட்டில் ML⁻³T² என்ற பரிமாணங்களையுடைய விகிதசமத்துவ மாறிலி k உள்ளது. பின்வருவனவற்றுள் எச்சமன்பாடு இப்பரிமாணங்களுடன் இசைகின்றது?	P = k(M₁ + M₂)/r²|P = M₁M₂/(kr²)|P = kM₁M₂/r²|P = kM₁M₂r²|P = kM₁M₂/r
10	பின்வருவனவற்றுள் எந்தவொன்று அலகுகளைக் கொண்டுள்ளது?	உராய்வுக்குணகம்|ஏகபரிமாண விறைப்புக்குணகம் (நீட்டல் விறைப்புக்குணகம்)|சாரடர்த்தி|சார் ஈர்ப்புத்தன்|தன்வெப்பங்களின் விகிதம்
11	அகில ஈர்ப்பு ஒருமை G இன் பரிமாணங்கள் யாவை?	
12	f = k√(T/m) என்ற சமன்பாட்டில் T ஐ N இலும் m ஐ kg m⁻¹ இலும் f ஐ s⁻¹ இலும் அளவிடும்போது k = 1 ஆகும். f, T இன் அலகுகளை மாற்றாது m ஐ mg m⁻¹ இல் அளவிடும்போது k இன் பெறுமதி யாது?	10⁻³|10⁻³ᐟ²|1|10³ᐟ²|10³
13	உராய்வு பற்றிய பரிசோதனையொன்றில் v கதியைக் கொண்டதும் a ஆரையுடையதுமான வீழும் கோளமொன்றில் தாக்கும் உராய்வு விசை F = kav² என்பதால் தரப்படுகின்றது. k இன் பரிமாணங்கள் யாவை?	ML⁻¹T⁻¹|ML⁻²|ML⁻²T⁻¹|ML⁻¹T⁻²|ML⁻¹T
14	V₁, V₂ என்பன வோல்ற்றளவுகளையும் I₁ ஓட்டத்தையும் குறிக்கின்றன. V₁ = K₁I₁ + K₂V₂ எனில் K₁/K₂ என்னும் விகிதம்,	தடையின் அலகை உடையது.|ஓட்டத்தின் அலகை உடையது.|வோல்ற்றளவின் அலகை உடையது.|வலுவின் அலகை உடையது.|பரிமாணமில்லாதது.
15	பின்வருவனவற்றில் எது மின்புல வலிமை E இற்குரிய அலகொன்றாகும்?	C m⁻¹|A m⁻¹|N m⁻¹|N C⁻¹|N V⁻¹
16	திண்மமொன்றின் வெப்பக்கொள்ளளவு C, வெப்பநிலை T சார்பாக C = αT + βT³ எனத் தரப்படலாம். α, β மாறிலிகள். β இன் சாத்தியமான அலகு யாது?	J K³|J K|J|J K⁻²|J K⁻⁴
17	வாயுவொன்றின் அமுக்கம் P, கனவளவு V, வெப்பநிலை T ஆகியவை (P + a/V²)V = nRT என்ற சமன்பாட்டினால் தொடர்புபடுத்தப்படுகின்றன. a வாயுவுக்குரிய மாறிலி; R அகிலவாயு ஒருமை. a இன் பரிமாணங்கள் யாவை?	ML²T⁻²|ML⁵T⁻¹|ML⁵T⁻²|ML⁴T⁻³|ML⁶T⁻²
18	ஈர்ப்பு ஒருமை G இன் அலகு யாது?	N m⁻¹|N kg⁻¹|N m kg⁻²|N m² kg⁻¹|N m² kg⁻²
19	பின்வரும் கூற்றுக்களைக் கருதுக.\n(A) அமுக்கத்தின் பரிமாணங்கள் ML⁻¹T⁻² ஆகும்.\n(B) பரப்பு இழுவையின் பரிமாணங்கள் MT⁻² ஆகும்.\n(C) சாரடர்த்தி ஒரு பரிமாணமற்ற கணியமாகும்.\nமேலுள்ள கூற்றுக்களில்,	A மாத்திரம் உண்மையானது.|B மாத்திரம் உண்மையானது.|C மாத்திரம் உண்மையானது.|A, C மாத்திரம் உண்மையானவை.|A, B, C ஆகிய எல்லாம் உண்மையானவை.
20	பதார்த்தமொன்றின் தன்வெப்பக்கொள்ளளவு C = A + BT² ஆகும். A, B பரிமாணமுள்ள மாறிலிகள்; T வெப்பநிலை. A, B ஆகியவற்றின் அலகுகள் முறையே யாவை?	J °C⁻¹ ; J °C⁻³|J kg⁻¹ °C⁻¹ ; J kg⁻¹ °C⁻³|J kg⁻¹ °C⁻¹ ; J kg⁻¹ °C⁻²|J kg⁻¹ ; J kg⁻¹ °C⁻²|J kg °C⁻¹ ; J kg °C⁻³
21	வலுவின் பரிமாணங்கள் யாவை?	ML²T²|ML²T⁻³|MLT⁻²|MLT⁻³|L²T⁻²
22	பின்வரும் அலகுகளில் எது மின்தடையின் அலகை எழுதும் ஒரு முறையாகும்?	J A⁻²|J A⁻² s⁻¹|J A⁻¹ s⁻¹|J A⁻¹ s⁻¹ m⁻¹|J⁻¹ A² s²
23	பின்வரும் சோடிகளில் எது ஒரே பரிமாணங்களைக் கொண்டது?	ஈர்ப்பு ஒருமை, ஈர்ப்பினாலான ஆர்முடுகல்|யங்கின் மட்டு, பரப்பு இழுவை|கணத்தாக்கு, உந்தம்|விசையொன்றின் திருப்பம், உந்தம்|வேலை, வலு
24	பின்வரும் அலகுகளில் எது வோல்ற்றுக்குச் சமவலுவானது?	J m⁻¹|N C⁻¹|J s|N m⁻¹|J C⁻¹
25	ஒளி வருடமொன்றுக்குச் சமவலுவானது எது? (ஒளியின் வேகம் = 3 × 10⁸ m s⁻¹)	3 × 10⁸ × 365 × 24 × 3.6 km|3 × 10⁸ × 365 × 24 × 3600 km|3 × 10⁸ × 365 × 3.6 km|365 × 24 × 3.6 s|365 × 24 × 3600 s
26	சீரான ஆர்முடுகல் a இன் கீழ் அசையும் துணிக்கையொன்று நேரம் t இல் சென்ற தூரம் s = kat² எனத் தரப்படுகின்றது. மாறிலி k ஆனது,	பரிமாணம் L ஐக் கொண்டிருக்கும்.|பரிமாணம் LT ஐக் கொண்டிருக்கும்.|பரிமாணம் LT² ஐக் கொண்டிருக்கும்.|பரிமாணம் LT⁴ ஐக் கொண்டிருக்கும்.|பரிமாணம் எதனையும் கொண்டிருக்காது.
27	திணிவு (M), நீளம் (L), நேரம் (T), ஓட்டம் (I) ஆகிய பரிமாணங்களின் அடிப்படையில் காந்தப்பாய அடர்த்தியின் பரிமாணங்கள் யாவை?	M²L²IT⁻²|ML⁻²I⁻¹T⁻¹|MLIT|MI⁻¹T⁻²|ML²IT
28	வேலையானது பின்வருவனவற்றில் எதன் பரிமாணங்களைப் போன்ற பரிமாணங்களைக் கொண்டிருக்கும்?	சக்தி|விசை|உந்தம்|வலு|கணத்தாக்கு
29	வலுவின் அலகான வாற்றுக்குச் சமவலுவானது எது?	N m s⁻²|N s m⁻¹|N m s|N m s⁻¹|N m² s
30	கிலோவாற்றுமணி என்பது பின்வரும் எதன் அலகாகும்?	வலு|சக்தி|ஓட்டம்|வோல்ற்றளவு|நேரம்
31	பிசுக்குமைக் குணகத்தின் SI அலகு யாது?	kg m⁻² s⁻²|kg m⁻¹ s⁻¹|kg m⁻¹ s⁻²|kg m⁻² s⁻¹|kg m⁻² s
32	கிலோவாற்றுமணி பின்வருவனவற்றுள் எதன் அலகாகும்?	வலு|சக்தி|மின்னோட்டம்|வோல்ற்றளவு|நேரம்
33	அம்பியர்-மணித்தியாலம் என்னும் அலகினால் அளவிடப்படுவது எது?	மின்கணியம்|மின்வலிமை|வலு|சக்தி|வோல்ற்றளவு
34	ஈர்வை, பரப்பிழுவை s ஆகியவற்றின் தாக்கத்தின் கீழ் அடர்த்தி ρ உடைய திரவத்தின் மீதுள்ள அலைநீளம் λ உடைய பரப்பு அலைக்குரிய கணியம் A = λ/B + 2πs/(ρλ) ஆகும். B ஒரு மாறிலி எனில் அதன் பரிமாணங்கள் யாவை?	L/T|L²/T²|T²/L|ML²/T²|L²/T
35	பின்வரும் பௌதிகக் கணியச் சோடிகளில் எது ஒரே பரிமாணங்களை உடையது?	வேலையும் வலுவும்|தகைப்பும் விகாரமும்|யங்கின் மட்டுவும் அமுக்கமும்|பிசுக்குமைக்குணகமும் பரப்பிழுவையும்|விசையும் உந்தமும்
36	நேரம் t இல் வாகனமொன்று நகர்ந்த தூரம் S = At²(1 + ½Bt) ஆகும். A, B என்பவற்றின் பரிமாணங்கள் முறையே யாவை?	LT² ; L¹ᐟ²T¹ᐟ²|T² ; T³|LT⁻² ; T⁻¹|LT⁻² ; (LT⁻³)¹ᐟ²|L ; L
37	V² = gA/(2π) + 2πγ/(ρA) என்ற சமன்பாட்டில் V வேகம், g ஈர்ப்பினாலான ஆர்முடுகல், γ பரப்பிழுவை, ρ அடர்த்தி. A இன் பரிமாணங்கள் யாவை?	L|LT|LT⁻¹|LT⁻²|L²
38	பின்வரும் கணியங்களில் எது அலகைக் கொண்டது?	உராய்வுக் குணகம்|விகாரம்|சார் ஈர்ப்புத்தன்|முறிவுச்சுட்டி|விறைத்திறன்
39	பின்வரும் அலகுச் சேர்வைகளில் எது டெஸ்லாவுக்குச் சமவலுவானது?	m/(C s)|N s/C|N/(C m)|N s/(C m)|N s/m
40	அம்பியர்-மணி என்பது,	ஓட்டத்தின் அலகு.|வலுவின் அலகு.|சக்தியின் அலகு.|நேரத்தின் அலகு.|ஏற்றக் கணியத்தின் அலகு.
41	பௌதிகவியலில் பயன்படுத்தப்படும் (A) மின்னேற்றம், (B) திணிவு, (C) வெப்பநிலை ஆகியவற்றைக் கருதுக. இவற்றில் SI தொகுதியின் அடிப்படைக் கணியங்கள் எவை?	B மாத்திரம்|A யும் B யும் மாத்திரம்|A யும் C யும் மாத்திரம்|B யும் C யும் மாத்திரம்|A, B, C ஆகிய எல்லாம்
42	பின்வருவனவற்றுள் எது திருப்பத்தின் அலகாகும்?	N m⁻²|N m⁻¹|N m|N m²|N² m
43	F = c₁a + c₂v/t என்ற சமன்பாட்டில் F, a, v, t என்பன முறையே விசை, ஆர்முடுகல், வேகம், நேரம் ஆகியவற்றைக் குறிக்கின்றன. c₁/c₂ என்ற விகிதம்,	ஆர்முடுகலின் பரிமாணங்களைக் கொண்டுள்ளது.|திணிவின் பரிமாணங்களைக் கொண்டுள்ளது.|வேலையின் பரிமாணங்களைக் கொண்டுள்ளது.|வேகத்தின் பரிமாணங்களைக் கொண்டுள்ளது.|பரிமாணமற்றது.
44	“கோண ஆர்முடுகல் × நேரம்” என்ற பெருக்கமானது எதன் பரிமாணத்தைக் கொண்டிருக்கும்?	கோணப் பெயர்ச்சி|கோண வேகம்|முறுக்கம்|சடத்துவத் திருப்பம்|வேலை
45	அமுக்கத்தின் SI அலகு யாது?	ஜூல்|நியூற்றன்|வாற்று|பஸ்கால்|ஹேற்ஸ்
46	பிளாங்கின் மாறிலி h இன் அலகு யாது?	J s⁻¹|J s|J s⁻²|J⁻¹ s|J⁻¹ s⁻¹
47	கோண வேகம் கொண்டிருக்கும் பரிமாணம் யாது?	LT⁻¹|T⁻¹|LT⁻²|T|L⁻¹T⁻¹
48	பின்வரும் அலகுகளில் ஒன்றினால் அளக்கப்படும் பௌதிகக் கணியம் மற்றையவற்றினால் அளக்கப்படும் கணியத்திலிருந்து வேறுபடுகின்றது. அவ்வலகு யாது?	eV|J s⁻¹|W s|கிலோவாற்று மணித்தியாலம்|MeV
49	வலுவின் பரிமாணங்கள் யாவை?	ML²T³|ML²T⁻²|MLT⁻³|ML²T⁻³|ML⁻²T⁻³
50	eV (இலத்திரன்-வோல்ற்று) என்பது,	வலுவின் அலகு.|சக்தியின் அலகு.|மின்னேற்றத்தின் அலகு.|வோல்ற்றளவின் அலகு.|அமுக்க வித்தியாசத்தின் அலகு.
51	vⁱ = kaʲs என்ற சமன்பாட்டில் v வேகத்தையும் a ஆர்முடுகலையும் s இடப்பெயர்ச்சியையும் குறிக்கின்றன. k ஒரு பரிமாணமற்ற மாறிலி; i, j நிலையான்கள். சமன்பாடு பரிமாணமுறைப்படி இசைவாக இருப்பதற்கு i, j இன் பெறுமானங்கள் முறையே யாவை?	1, 1|1, 2|2, 1|2, 2|2, 3
52	மீடிறனின் பரிமாணங்கள் யாவை?	LT⁻¹|Hz|L⁻¹|T⁻¹|ML⁻¹
